Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.61,0.31,0.376327398
75% Corpus,10,asymmetric,symmetric,0.376300074
100% Corpus,6,0.91,0.61,0.376163546
100% Corpus,9,0.01,0.01,0.375960344
75% Corpus,8,0.61,symmetric,0.37591044
75% Corpus,7,0.61,0.31,0.375613101
75% Corpus,5,0.61,0.61,0.375433609
100% Corpus,10,0.91,symmetric,0.375432786
75% Corpus,6,0.01,0.01,0.375431237
75% Corpus,4,asymmetric,0.91,0.37526386
100% Corpus,4,0.01,0.61,0.375191974
100% Corpus,4,0.31,0.61,0.375191974
100% Corpus,4,symmetric,0.61,0.375191974
100% Corpus,3,0.61,0.61,0.375015162
100% Corpus,3,0.91,0.91,0.375015162
100% Corpus,8,0.61,0.01,0.374995546
100% Corpus,6,0.61,symmetric,0.374989107
100% Corpus,4,0.31,0.91,0.374800152
100% Corpus,4,symmetric,0.91,0.374800152
100% Corpus,4,0.61,0.31,0.37477334
75% Corpus,5,0.61,0.31,0.374749575
75% Corpus,7,0.61,0.01,0.374627794
100% Corpus,9,0.61,0.01,0.374618562
75% Corpus,6,0.91,symmetric,0.374535197
75% Corpus,10,0.61,0.31,0.374181621
75% Corpus,10,0.61,0.91,0.374080609
75% Corpus,5,0.61,0.91,0.374070581
75% Corpus,9,symmetric,0.91,0.373685692
100% Corpus,8,0.31,symmetric,0.373554456
75% Corpus,7,0.91,symmetric,0.373360159
75% Corpus,8,0.61,0.91,0.373252334
100% Corpus,10,0.91,0.61,0.373202242
75% Corpus,8,0.91,symmetric,0.373167456
100% Corpus,4,0.01,0.31,0.3731437
100% Corpus,4,0.31,0.31,0.3731437
100% Corpus,4,symmetric,0.31,0.3731437
100% Corpus,8,0.61,0.31,0.37302303
75% Corpus,10,0.31,0.01,0.372872755
75% Corpus,7,symmetric,0.31,0.372714188
100% Corpus,6,0.61,0.61,0.372672649
100% Corpus,3,0.31,0.61,0.372641718
100% Corpus,3,symmetric,0.61,0.372641718
100% Corpus,9,asymmetric,0.31,0.372556475
75% Corpus,10,asymmetric,0.01,0.372404429
100% Corpus,6,symmetric,0.61,0.372388537
75% Corpus,8,symmetric,0.01,0.372201951
100% Corpus,4,0.61,symmetric,0.372125861
100% Corpus,10,0.61,0.91,0.372047131
75% Corpus,8,0.01,0.31,0.37201535
100% Corpus,8,0.91,0.01,0.37198076
100% Corpus,3,0.91,0.61,0.371976514
75% Corpus,6,0.91,0.31,0.371821597
75% Corpus,10,0.01,0.91,0.371736201
75% Corpus,8,asymmetric,0.31,0.371665539
75% Corpus,9,0.91,0.61,0.371650027
100% Corpus,9,asymmetric,0.91,0.371495934
100% Corpus,6,0.31,0.61,0.371482747
100% Corpus,7,0.91,0.61,0.371410846
75% Corpus,6,0.91,0.01,0.371402461
100% Corpus,10,0.31,0.91,0.371128261
75% Corpus,6,0.91,0.61,0.371081642
75% Corpus,5,0.91,0.61,0.371076628
100% Corpus,10,0.91,0.01,0.371014599
100% Corpus,3,0.01,0.91,0.370875638
75% Corpus,8,0.91,0.01,0.370645554
75% Corpus,6,0.91,0.91,0.370620827
100% Corpus,4,0.91,symmetric,0.37055072
100% Corpus,6,0.61,0.91,0.370544456
75% Corpus,8,0.91,0.61,0.37050716
75% Corpus,7,0.01,symmetric,0.370493263
75% Corpus,7,0.91,0.31,0.370336818
100% Corpus,6,0.91,0.91,0.370323883
100% Corpus,10,symmetric,0.91,0.370274234
75% Corpus,7,symmetric,0.01,0.370263659
100% Corpus,6,0.01,0.31,0.370208066
100% Corpus,10,0.61,0.61,0.36991097
100% Corpus,4,0.91,0.31,0.369742517
75% Corpus,8,0.01,0.01,0.369444726
100% Corpus,4,0.01,symmetric,0.36892108
100% Corpus,4,0.31,symmetric,0.36892108
100% Corpus,4,symmetric,symmetric,0.36892108
100% Corpus,4,0.91,0.61,0.368860354
100% Corpus,10,0.91,0.91,0.36884129
75% Corpus,6,0.01,symmetric,0.368800762
75% Corpus,10,0.91,0.31,0.36875731
75% Corpus,7,0.01,0.01,0.36858662
100% Corpus,3,0.01,0.61,0.368567208
100% Corpus,9,0.91,0.01,0.368221999
100% Corpus,6,0.91,symmetric,0.368206542
100% Corpus,4,0.01,0.91,0.368133804
100% Corpus,6,0.01,0.61,0.367977661
100% Corpus,7,0.01,0.91,0.367929257
75% Corpus,8,0.31,0.61,0.367748846
100% Corpus,7,0.01,0.61,0.367681664
75% Corpus,10,0.01,0.01,0.367365815
75% Corpus,7,asymmetric,symmetric,0.367291722
100% Corpus,4,asymmetric,0.31,0.367271877
100% Corpus,8,0.91,0.31,0.367156552
75% Corpus,8,0.31,0.01,0.367148109
100% Corpus,9,0.91,0.31,0.367085272
100% Corpus,8,0.61,symmetric,0.367070316
100% Corpus,7,0.31,0.91,0.367064673
100% Corpus,3,asymmetric,0.61,0.366990824
100% Corpus,8,symmetric,symmetric,0.366838236
75% Corpus,9,asymmetric,0.31,0.366784748
75% Corpus,7,0.91,0.01,0.366741627
100% Corpus,9,0.91,symmetric,0.366360349
75% Corpus,8,0.61,0.01,0.3662184
75% Corpus,8,0.01,symmetric,0.365775079
100% Corpus,4,asymmetric,0.61,0.365759448
75% Corpus,7,0.91,0.91,0.365647883
100% Corpus,9,0.01,0.61,0.365486003
100% Corpus,4,0.61,0.91,0.365043472
100% Corpus,4,0.91,0.91,0.365043472
75% Corpus,10,symmetric,0.01,0.364947051
75% Corpus,9,0.91,symmetric,0.364869457
75% Corpus,10,symmetric,0.31,0.364523225
100% Corpus,4,0.61,0.61,0.364426637
100% Corpus,9,0.61,symmetric,0.3643112
100% Corpus,9,0.01,symmetric,0.364230796
100% Corpus,9,0.61,0.31,0.364206886
100% Corpus,9,0.31,0.31,0.364206021
100% Corpus,6,0.31,0.91,0.364198841
75% Corpus,8,asymmetric,0.01,0.364197081
100% Corpus,3,0.61,0.91,0.364057829
75% Corpus,9,0.91,0.31,0.364054597
100% Corpus,8,0.91,symmetric,0.363815521
100% Corpus,9,0.91,0.91,0.363790862
75% Corpus,9,asymmetric,0.01,0.363788291
100% Corpus,7,0.61,0.91,0.363732996
100% Corpus,8,0.01,0.01,0.363654075
100% Corpus,6,symmetric,0.91,0.363647526
100% Corpus,9,symmetric,symmetric,0.363369305
100% Corpus,9,symmetric,0.01,0.363099419
100% Corpus,7,symmetric,0.91,0.362888842
75% Corpus,9,0.61,0.61,0.362694754
75% Corpus,7,asymmetric,0.01,0.362678717
100% Corpus,8,asymmetric,0.01,0.362487407
75% Corpus,9,0.91,0.01,0.362386983
100% Corpus,8,0.31,0.31,0.362343285
75% Corpus,7,0.91,0.61,0.361913805
100% Corpus,9,0.91,0.61,0.361830066
75% Corpus,9,0.61,0.01,0.361772582
100% Corpus,4,0.91,0.01,0.361264332
